Бумага;ISIN;Торговый код;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26218;RU000A0JVW48;SU26218RMFS6;12;29.09.2021;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;13;30.03.2022;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;14;28.09.2022;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;15;29.03.2023;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;16;27.09.2023;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;17;27.03.2024;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;18;25.09.2024;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;19;26.03.2025;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;20;24.09.2025;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;21;25.03.2026;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;22;23.09.2026;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;23;24.03.2027;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;24;22.09.2027;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;25;22.03.2028;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;26;20.09.2028;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;27;21.03.2029;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;28;19.09.2029;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;29;20.03.2030;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;30;18.09.2030;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;31;19.03.2031;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;32;17.09.2031;8.5;42.38;1 000
Россия, 26219;RU000A0JWM07;SU26219RMFS4;1;28.09.2016;7.75;19.32;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;2;29.03.2017;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;3;27.09.2017;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;4;28.03.2018;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;5;26.09.2018;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;6;27.03.2019;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;7;25.09.2019;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;8;25.03.2020;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;9;23.09.2020;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;10;24.03.2021;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;11;22.09.2021;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;12;23.03.2022;7.75;38.64;
