TRADEDATE,tau,beta0,beta1,beta2
2014-10-09,29.999965027944988,4170290.81238405,42407.15437197732,-735053.4337777717
2014-10-10,29.999965027944988,4192043.8925097263,42407.154343083035,-735050.8458488102
2014-10-13,29.999965027944988,4213796.972620588,42407.154314398766,-735048.2579198487
2014-10-14,29.999965027944988,4235550.052716634,42407.15428624023,-735045.6699908872
2014-10-15,29.999965027944988,4257303.132798076,42407.15425839648,-735043.0820619257
2014-10-16,29.999965027944988,4279056.212865123,42407.154230868444,-735040.4941329642
2014-10-17,29.999965027944988,4300809.2929179855,42407.15420354996,-735037.9062040027
2014-10-20,29.999965027944988,4322562.372956769,42407.15417633671,-735035.3182750412
2014-10-21,29.999965027944988,4344315.452981472,42407.154149439186,-735032.7303460797
2014-10-22,29.999965027944988,4366068.532992411,42407.154122751206,-735030.1424171182
2014-10-23,29.999965027944988,4387821.612989587,42407.15409637801,-735027.5544881567
2014-10-24,29.999965027944988,4409574.692973313,42407.1540702153,-735024.9665591952
2014-10-27,29.999965027944988,4431327.77294359,42407.154044368304,-735022.3786302337
2014-10-28,29.999965027944988,4453080.8529004175,42407.154018941335,-735019.7907012722
2014-10-29,29.999965027944988,4474833.932844217,42407.153993618675,-735017.2027723107
2014-10-30,29.999965027944988,4496587.012774882,42407.15396861173,-735014.6148433492
2014-10-31,29.999965027944988,4518340.092692624,42407.15394381434,-735012.0269143877
2014-11-03,29.999965027944988,4540093.172597652,42407.15391912218,-735009.4389854262
2014-11-05,29.999965027944988,4561846.252489862,42407.15389485005,-735006.8510564647
2014-11-06,29.999965027944988,4583599.332369568,42407.153870684095,-735004.2631275032
2014-11-07,29.999965027944988,4605352.41223698,42407.153846728615,-735001.6751985417
2014-11-10,29.999965027944988,4627105.492091995,42407.15382308792,-734999.0872695802
2014-11-11,29.999965027944988,4648858.571934821,42407.15379955154,-734996.4993406187
2014-11-12,29.999965027944988,4670611.651765564,42407.153776225634,-734993.9114116572
2014-11-13,29.999965027944988,4692364.731584329,42407.15375311021,-734991.3234826957
2014-11-14,29.999965027944988,4714117.811391221,42407.15373030957,-734988.7355537342
2014-11-17,29.999965027944988,4735870.891186451,42407.15370761417,-734986.1476247727
2014-11-18,29.999965027944988,4757623.970969912,42407.15368533973,-734983.5596958112
2014-11-19,29.999965027944988,4779377.050741815,42407.15366327483,-734980.9717668497
2014-11-20,29.999965027944988,4801130.130502266,42407.153641419485,-734978.3838378883
2014-11-21,29.999965027944988,4822883.210251579,42407.15361945983,-734975.7959089268
2014-11-24,29.999965027944988,4844636.289989649,42407.153597710654,-734973.2079799653
2014-11-25,29.999965027944988,4866389.369716478,42407.153576276265,-734970.6200510038
2014-11-26,29.999965027944988,4888142.449432273,42407.15355515666,-734968.0321220423
2014-11-27,29.999965027944988,4909895.529137142,42407.1535341423,-734965.4441930808
2014-11-28,29.999965027944988,4931648.608831188,42407.15351333842,-734962.8562641193
2014-12-01,29.999965027944988,4953401.688514517,42407.15349274408,-734960.2683351578
2014-12-02,29.999965027944988,4975154.7681873385,42407.153472149745,-734957.6804061963
2014-12-03,29.999965027944988,4996907.847849548,42407.15345176589,-734955.0924772348
2014-12-04,29.999965027944988,5018660.92750125,42407.15343169775,-734952.5045482733
2014-12-05,29.999965027944988,5040414.00714255,42407.15341183916,-734949.9166193118
2014-12-08,29.999965027944988,5062167.086773659,42407.153391980566,-734947.3286903503
2014-12-09,29.999965027944988,5083920.1663945755,42407.15337243769,-734944.7407613888
2014-12-10,29.999965027944988,5105673.2460053,42407.15335310437,-734942.1528324273
2014-12-11,29.999965027944988,5127426.325606149,42407.15333377104,-734939.5649034658
2014-12-12,29.999965027944988,5149179.405197015,42407.15331454296,-734936.9769745043
2014-12-15,29.999965027944988,5170932.484778005,42407.15329563059,-734934.3890455428
2014-12-16,29.999965027944988,5192685.564349328,42407.15327671822,-734931.8011165813
2014-12-17,29.999965027944988,5214438.64391088,42407.1532580154,-734929.2131876198
2014-12-18,29.999965027944988,5236191.723462765,42407.15323952306,-734926.6252586583
2014-12-19,29.999965027944988,5257944.8030052995,42407.15322102979,-734924.0373296968
