TRADEDATE,tau,beta_0,beta_1,beta_2
2016-10-11,1.0,0.08363785481231323,0.009816871875268765,0.0
2016-10-12,1.0,0.08401993601909388,0.008477582725422442,0.0
2016-10-13,1.0,0.08438989430181741,0.009289046938115969,0.0
2016-10-14,1.0,0.08414289779582176,0.009195889701288276,0.0
2016-10-17,1.0,0.08511375948162607,0.00909124066289721,0.0
2016-10-18,1.0,0.08563946834003998,0.007741612487151758,0.0
2016-10-19,1.0,0.08490698162177732,0.008539473270863115,0.0
2016-10-20,1.0,0.08436889812586504,0.009070347345420005,0.0
2016-10-21,1.0,0.08415686013901069,0.00915010365772187,0.0
2016-10-24,1.0,0.08414587193101702,0.009374112826066816,0.0
2016-10-25,1.0,0.0842152803169662,0.009010720549290224,0.0
2016-10-26,1.0,0.08478041735477998,0.00775415957345886,0.0
2016-10-27,1.0,0.08539509003229465,0.0066716146472854815,0.0
2016-10-28,1.0,0.08607055532183525,0.0058454307175743875,0.0
2016-10-31,1.0,0.08618528170150133,0.006690202084262811,0.0
2016-11-01,1.0,0.08605832729410726,0.008225277850950063,0.0
2016-11-02,1.0,0.08684616973020677,0.00756298911996417,0.0
2016-11-03,1.0,0.08688353204889485,0.007898084568748284,0.0
2016-11-07,1.0,0.08600028057381987,0.009196832766478064,0.0
2016-11-08,1.0,0.08534640974136781,0.009575916194268591,0.0
2016-11-09,1.0,0.08567950073384549,0.00855415785147344,0.0
2016-11-10,1.0,0.08676402922515243,0.00643578556894181,0.0
2016-11-11,1.0,0.08915959469153695,0.0036892513907548774,0.0
2016-11-14,1.0,0.08958982266911432,0.0021667379433712025,0.0
2016-11-15,1.0,0.0883648048339476,0.0027235166968433006,0.0
2016-11-16,1.0,0.08893591088525143,0.0027003103469195877,0.0
2016-11-17,1.0,0.08856745897471789,0.0023058626208984356,0.0
2016-11-18,1.0,0.08864614557047479,0.0027152703528273703,0.0
2016-11-21,1.0,0.08804430312570344,0.0031373176921305618,0.0
2016-11-22,1.0,0.08795033453178583,0.00213838066259274,0.0
2016-11-23,1.0,0.0887522428574092,0.0016301748136561683,0.0
2016-11-24,1.0,0.08846208657857162,0.0018099032344082583,0.0
2016-11-25,1.0,0.08933576475061084,0.0005397061385650354,0.0
2016-11-28,1.0,0.08937636102754556,0.0009380456201825565,0.0
2016-11-29,1.0,0.08940741296124531,0.0010520571997886669,0.0
2016-11-30,1.0,0.0893471811632841,0.000891086052426493,0.0
2016-12-01,1.0,0.088642474171612,0.0015058169311139014,0.0
2016-12-02,1.0,0.08868988667271074,0.0014046846672287339,0.0
2016-12-05,1.0,0.08850425712312933,0.0013991414162065896,0.0
2016-12-06,1.0,0.08807910783961719,0.0026548775321473816,0.0
2016-12-07,1.0,0.08723674893044518,0.002702101754639724,0.0
2016-12-08,1.0,0.08686561569808067,0.0029776641320839875,0.0
2016-12-09,1.0,0.08613099967722197,0.003663797644773009,0.0
2016-12-12,1.0,0.08575208096217221,0.003696296175612457,0.0
2016-12-13,1.0,0.08586010467929024,0.003455137252063062,0.0
2016-12-14,1.0,0.08530948549556157,0.003601292115156862,0.0
2016-12-15,1.0,0.08617641375065854,0.0027974834359500156,0.0
2016-12-16,1.0,0.08620929795128164,0.002017766272248339,0.0
2016-12-19,1.0,0.08608396798437533,0.003760937053141969,0.0
2016-12-20,1.0,0.0860690053716587,0.002341858425774737,0.0
2016-12-21,1.0,0.08601703507057237,0.0025298286647231077,0.0
2016-12-22,1.0,0.08596783262585592,0.0011500390953444045,0.0
2016-12-23,1.0,0.08567437843010461,0.002034972361756121,0.0
2016-12-26,1.0,0.08565164667485495,0.0020911728618510234,0.0
2016-12-27,1.0,0.08549227418889842,0.0006271353645451033,0.0
2016-12-28,1.0,0.08522882526761243,-0.00039064712001378454,0.0
2016-12-29,1.0,0.08477975983169818,0.0009463433341663913,0.0
2016-12-30,1.0,0.08490842253918615,-0.0016720634109486376,0.0
2017-01-03,1.0,0.08451810675915239,0.0007135284401877801,0.0
2017-01-04,1.0,0.08434173539176316,-0.0003981650513391888,0.0
2017-01-05,1.0,0.0841052868036603,-4.9205069072300045e-06,0.0
2017-01-06,1.0,0.08374616009468136,-0.00103873490295682,0.0
2017-01-09,1.0,0.08327155105046319,0.0026063150420535808,0.0
2017-01-10,1.0,0.0825168767850161,0.0016485813591176346,0.0
2017-01-11,1.0,0.0824022697684514,0.0030480630364061456,0.0
2017-01-12,1.0,0.08205154839273085,0.002420604607789048,0.0
2017-01-13,1.0,0.08187712127202712,0.004402539843409617,0.0
2017-01-16,1.0,0.08207762100915353,0.0032759976292767584,0.0
2017-01-17,1.0,0.0819269810838907,0.004864564652878503,0.0
2017-01-18,1.0,0.0822141027037645,0.004096485869835562,0.0
2017-01-19,1.0,0.08262757447219604,0.003857648192080995,0.0
2017-01-20,1.0,0.08257655283293142,0.004290335516332733,0.0
2017-01-23,1.0,0.08273350009681718,0.005110958299989712,0.0
2017-01-24,1.0,0.082914284485686,0.004603416371604746,0.0
2017-01-25,1.0,0.08353310825088825,0.0043059106819464815,0.0
2017-01-26,1.0,0.0847095465010809,0.007075208847979408,0.0
2017-01-27,1.0,0.08417759293846608,0.006776412638780219,0.0
2017-01-30,1.0,0.08357400401014625,0.007377470607284511,0.0
2017-01-31,1.0,0.08348471334597013,0.008928297290809545,0.0
2017-02-01,1.0,0.08313004007120109,0.00982692086117555,0.0
2017-02-02,1.0,0.08252237921015218,0.01000577344320959,0.0
2017-02-03,1.0,0.08240583754127753,0.009478621467156861,0.0
2017-02-06,1.0,0.08254080043054768,0.009474239683324281,0.0
2017-02-07,1.0,0.08283204143705084,0.009883917751064203,0.0
2017-02-08,1.0,0.0830066717082788,0.0101320082811832,0.0
2017-02-09,1.0,0.08301329361826157,0.010891735932064092,0.0
2017-02-10,1.0,0.08256475139260003,0.010765126314583928,0.0
2017-02-13,1.0,0.08222239347752734,0.011179587885974382,0.0
2017-02-14,1.0,0.08246634364840975,0.011924807442135171,0.0
2017-02-15,1.0,0.08279872938337879,0.011535016456389532,0.0
2017-02-16,1.0,0.08282317596129596,0.011929810263670446,0.0
2017-02-17,1.0,0.08359256247825234,0.01768523485616262,0.0
2017-02-20,1.0,0.08356405484911782,0.009540667234685052,0.0
2017-02-21,1.0,0.08347418605995632,0.009140602617688356,0.0
2017-02-22,1.0,0.08349571583939251,0.009340862930166727,0.0
2017-02-24,1.0,0.08357620743090016,0.010867400734100557,0.0
2017-02-27,1.0,0.08371652164452792,0.011181061188341446,0.0
2017-02-28,1.0,0.08389317789458181,0.012288884985770784,0.0
2017-03-01,1.0,0.08379992596051854,0.012544587279142191,0.0
2017-03-02,1.0,0.0839793398853924,0.012649061784689178,0.0
2017-03-03,1.0,0.0839734484806999,0.011594987150013933,0.0
2017-03-06,1.0,0.08347722190503079,0.011373352093253339,0.0
2017-03-07,1.0,0.08337179686824207,0.012074051881730927,0.0
2017-03-09,1.0,0.08352316167045211,0.012975842684223235,0.0
2017-03-10,1.0,0.08295054140734469,0.013521302517098877,0.0
2017-03-13,1.0,0.08277145369207835,0.012810324517840546,0.0
2017-03-14,1.0,0.08278259842184141,0.012672200975083814,0.0
2017-03-15,1.0,0.08277365111398802,0.008801413578105613,0.0
2017-03-16,1.0,0.08230499843789782,0.008720271233739682,0.0
2017-03-17,1.0,0.0819778504542441,0.00912080191108365,0.0
2017-03-20,1.0,0.08174473821099976,0.009099818989327199,0.0
2017-03-21,1.0,0.08150933723390667,0.00984638980022863,0.0
2017-03-22,1.0,0.08205839204614476,0.009481593522987067,0.0
2017-03-23,1.0,0.0818097934814442,0.009799087662031428,0.0
2017-03-24,1.0,0.0814502417845234,0.010182041040192921,0.0
2017-03-27,1.0,0.0814249346453466,0.009911637275905924,0.0
2017-03-28,1.0,0.08126717586733637,0.010367798162176728,0.0
2017-03-29,1.0,0.08164046674110335,0.009466637089313973,0.0
2017-03-30,1.0,0.0810865895606811,0.00980528682678003,0.0
2017-03-31,1.0,0.08121778148860337,0.009716405309907902,0.0
2017-04-03,1.0,0.08144655202043788,0.008671192381863216,0.0
2017-04-04,1.0,0.0816174185820016,0.008809501009824527,0.0
2017-04-05,1.0,0.08100284995335909,0.00933258961603578,0.0
2017-04-06,1.0,0.08074326214746495,0.010006677780414447,0.0
2017-04-07,1.0,0.08121287634787497,0.009299575804052426,0.0
2017-04-10,1.0,0.08194233365252232,0.008655234961872607,0.0
2017-04-11,1.0,0.08214469581475264,0.007915521869883535,0.0
2017-04-12,1.0,0.08239259121263631,0.007853019507744918,0.0
2017-04-13,1.0,0.08228159446671646,0.006658952430677073,0.0
2017-04-14,1.0,0.08179889643035965,0.007072931137054414,0.0
2017-04-17,1.0,0.08170173890567632,0.006669885268270254,0.0
2017-04-18,1.0,0.08170922890600935,0.006524804661288741,0.0
2017-04-19,1.0,0.0814493197148177,0.006032537850559433,0.0
2017-04-20,1.0,0.08115692928111298,0.005157154439380626,0.0
2017-04-21,1.0,0.08069522935340927,0.003443297728327202,0.0
2017-04-24,1.0,0.07992394370713377,0.002134572242042554,0.0
2017-04-25,1.0,0.08006581436121474,0.0023426498870701556,0.0
