Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2017-02-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,9,7.05,35.15,0.0
2018-01-31 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,10,7.05,35.15,0.0
2018-01-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,11,7.05,35.15,0.0
2019-01-30 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,12,7.05,35.15,0.0
2019-07-31 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,13,7.05,35.15,0.0
2020-01-29 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,14,7.05,35.15,0.0
2020-07-29 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,15,7.05,35.15,0.0
2021-01-27 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,16,7.05,35.15,0.0
2021-07-28 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,17,7.05,35.15,0.0
2022-01-26 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,18,7.05,35.15,0.0
2022-07-27 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,19,7.05,35.15,0.0
2023-01-25 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,20,7.05,35.15,0.0
2023-07-26 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,21,7.05,35.15,0.0
2024-01-24 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,22,7.05,35.15,0.0
2024-07-24 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,23,7.05,35.15,0.0
2025-01-22 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,24,7.05,35.15,0.0
2025-07-23 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,25,7.05,35.15,0.0
2026-01-21 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,26,7.05,35.15,0.0
2026-07-22 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,27,7.05,35.15,0.0
2027-01-20 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,28,7.05,35.15,0.0
2027-07-21 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,29,7.05,35.15,0.0
2028-01-19 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,30,7.05,35.15,1000.0
2013-04-12 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,1,6.4,31.91,0.0
2014-04-06 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,2,6.4,31.91,0.0
2014-03-12 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,3,6.4,31.91,0.0
2015-03-06 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,4,6.4,31.91,0.0
2015-02-12 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,5,6.4,31.91,0.0
2016-01-06 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,6,6.4,31.91,0.0
2016-11-30 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,7,6.4,31.91,0.0
2017-05-31 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,8,6.4,31.91,0.0
2017-11-29 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,9,6.4,31.91,0.0
2018-05-30 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,10,6.4,31.91,0.0
2018-11-28 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,11,6.4,31.91,0.0
2019-05-29 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,12,6.4,31.91,0.0
2019-11-27 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,13,6.4,31.91,0.0
